用途,成交日期,成交价格,受让单位
R2二类居住用地、B4综合性商业金融服务业用地、A61机构养老设施用地、A33基础教育用地、S4社会停车场用地,2017-04-11,585000,国开东方城镇发展投资有限公司和北京万科企业有限公司联合体
R2二类居住用地、A33基础教育用地,2017-04-13,698000,北京首都开发股份有限公司、北京中海地产有限公司、保利（北京）房地产开发有限公司和北京龙湖中佰置业有限公司联合体
R2二类居住用地,2017-04-13,574000,北京首都开发股份有限公司、北京中海地产有限公司、保利（北京）房地产开发有限公司和北京龙湖中佰置业有限公司联合体
F3其他类多功能用地,2017-04-06,129000,北京亚通房地产开发有限责任公司
A61机构养老设施用地,2017-04-01,66000,北京中弘弘庆房地产开发有限公司
A61机构养老设施用地,2017-04-01,49600,北京中弘弘庆房地产开发有限公司
F3其他类多功能用地,2017-03-30,204000,北京广茂置业有限公司
F3其他类多功能用地,2017-03-30,225000,北京润置商业运营管理有限公司、招商局地产(北京)有限公司和北京环渤海正奇企业管理中心（有限合伙）联合体
F3其他类多功能用地,2017-03-30,106000,北京硕日新宇投资有限公司
R2二类居住用地,2017-03-28,158000,北京天恒正同资产管理有限公司
R2二类居住用地、A33基础教育用地,2017-03-28,176000,北京宝驰通置业有限公司
工业用地,2017-03-27,11784.385656,北京燕东微电子科技有限公司
工业用地,2017-03-27,3240.0972,华卓精科（北京）精密运动系统科技有限公司
一类工业用地,2017-03-27,9634,北京天仁道和新材料有限公司
R2二类居住用地、B1商业用地、F3其他类多功能用地、A4体育用地、A33基础教育用地,2017-02-16,232500,北京中海地产有限公司、北京首都开发股份有限公司、保利（北京）房地产开发有限公司和北京龙湖中佰置业有限公司联合体
B12市场用地、F1住宅混合公建用地、R2二类居住用地,2017-02-16,181000,北京辉拓置业有限公司和北京瑞成永创科技有限公司联合体
R2二类居住用地,2017-01-26,172800,北京中瑞凯华投资管理有限公司、北京龙湖天行置业有限公司、保利（北京）房地产开发有限公司和北京首都开发股份有限公司联合体
F1住宅混合公建用地,2017-01-26,39000,北京众美房地产开发有限公司
S4社会停车场用地、B4综合性商业金融服务业用地、R2二类居住用地、B1商业用地、F1住宅混合公建用地,2017-01-19,633000,北京京投置地房地产有限公司、北京首都开发股份有限公司、保利（北京）房地产开发有限公司、北京龙湖天行置业有限公司和北京德俊置业有限公司联合体
工业用地,2017-01-23,5625.6282,纳微矽磊国际科技（北京）有限公司
R2二类居住用地、A33基础教育用地,2016-12-28,615200,北京星火房地产开发有限责任公司
R2二类居住用地,2016-12-20,81500,北京韩村河房地产开发有限公司
F3其他类多功能用地,2016-12-20,103020,北京筑兴房地产开发有限公司
B23研发设计用地,2016-12-07,220000,北京保险产业园投资控股有限责任公司
B23研发设计用地,2016-12-07,135000,北京京石科园置业发展有限公司
B4综合性商业金融服务业、S32公交场站设施用地,2016-11-28,378000,北京龙湖天行置业有限公司和北京首都开发股份有限公司联合体
B4综合性商业金融服务业用地,2016-11-28,51300,北京旭辉合创投资有限公司
M1一类工业用地,2016-11-28,4456,北京中关村前沿技术产业发展有限公司
M1一类工业用地,2016-11-28,7505,北京环宇京辉京城气体科技有限公司
R2二类居住用地,2016-12-01,500000,北京万科企业有限公司
R2二类居住用地、A33基础教育用地,2016-12-01,367500,中铁房地产集团北方有限公司
R2二类居住、B11零售商业用地,2016-11-17,576000,中粮地产（北京）有限公司、北京中瑞凯华投资管理有限公司和北京天恒乐活城置业有限公司联合体
R2二类居住用地,2016-11-02,215000,中铁置业集团北京有限公司
R2二类居住、B11零售商业用地,2016-12-01,590000,北京万科企业有限公司和北京金第房地产开发有限责任公司联合体
,2016-10-25,1798,北京世纪澄通电子有限公司
工业用地,2016-10-24,16807.7916,北京屹唐集成电路科技有限公司
R2二类居住用地,2016-10-09,211000,北京博大新元房地产开发有限公司
工业用地,2016-09-18,13199.0904,中国机动车辆安全鉴定检测中心
B4综合性商业金融服务业用地,2016-09-01,42000,北京龙建诚信房地产开发有限公司
F3其他类多功能用地、B31娱乐用地、B4综合性商业金融服务业用地、B14旅馆用地、S41公用停车场用地、U12供电用地,2016-07-07,870000,北京首寰文化旅游投资有限公司
工业用地,2016-06-14,2656.755,惠买控股集团有限公司
工业用地,2016-06-17,611.6400,北京市机动车排放管理中心
工业用地,2016-06-14,7049.5404,东方雨虹民用建材有限责任公司
M2二类工业,2016-06-14,9927.8513,北京兴谷中心企业创新投资管理有限公司
R2二类居住用地,2016-06-02,104250,北京天润诚泽房地产开发有限公司
B2商务用地,2016-06-02,141000,北京龙湖中佰置业有限公司和北京龙湖天行置业有限公司联合体
F2公建混合住宅用地,2016-06-02,75000,福建宏辉房地产开发有限公司
F1住宅混合公建用地,2016-05-05,300000,北京招商局铭嘉房地产开发有限公司
B4综合性商业金融服务业用地,2016-05-05,334000,北京中瑞凯华投资管理有限公司
F1住宅混合公建用地,2016-05-05,319500,北京招商局铭嘉房地产开发有限公司
F3其他类多功能用地,2016-02-26,181000,北京绿地京城置业有限公司和北京绿地京华置业有限公司联合体
B1商业用地、F1住宅混合公建用地、A33基础教育用地,2016-02-26,394800,北京泰达和信投资管理有限公司
F3其他类多功能用地,2016-02-23,130000,北京绿地京城置业有限公司和北京绿地京华置业有限公司联合体
R2二类居住用地、U17邮政设施用地、B4综合性商业金融服务业用地、A33基础教育用地,2016-02-23,390000,北京绿地京城置业有限公司和北京绿地京华置业有限公司联合体
工业用地,2016-02-06,5543.64,阿尔特置业（北京）有限公司
F2公建混合住宅用地、A33基础教育用地、R2二类居住用地、U12供电用地,2016-02-03,513500,致昌（北京）企业管理有限公司、杭州臻美投资有限公司和中交地产有限公司联合体
B4综合性商业金融服务业用地,,,
F3其他类多功能用地,2016-01-27,187500,深耕拓展投资（北京）有限公司
一类工业用地,2016-01-28,4151,北京德信致远科技有限公司
一类工业用地,2016-01-25,6156,北京中植医药科技有限公司
一类工业用地,2016-02-01,4194,北京凯达恒业农业技术开发有限公司
R2二类居住用地、A33基础教育用地,2015-12-28,126000,北京首开中晟置业有限责任公司
工业用地,2015-12-24,21533.82,北京奔驰汽车有限公司
一类工业用地,2015-12-24,926,北京迅邦润泽物流有限公司
F3其他类多功能用地,2015-12-23,196000,北京绿地京城置业有限公司和北京绿地京华置业有限公司联合体
F3其他类多功能用地,2015-12-23,197000,北京绿地京城置业有限公司和北京绿地京华置业有限公司联合体
R2二类居住用地、A61机构养老设施用地,2015-12-23,442000,中铁置业集团北京有限公司
F3其他类多功能用地,2015-12-15,22400,北京中关村微纳能源投资有限公司
R2二类居住用地、B1商业用地,2015-12-15,50450,北京泰达和信投资管理有限公司
R2二类居住用地、B1商业用地、A61机构养老设施用地,2015-12-03,57000,北京房地天锐鑫洋房地产开发有限公司
F1住宅混合公建用地、R2二类居住用地,2015-11-24,420300,北京天恒乐活城置业有限公司和中粮地产（北京）有限公司联合体
B4综合性商业金融服务业用地、R2二类居住用地、A4体育用地,2015-11-24,266000,北京天恒乐活城置业有限公司和中粮地产（北京）有限公司联合体
B4综合性商业金融服务业用地,2015-11-23,354000,北京市华远置业有限公司和北京上同致远房地产开发有限公司联合体
F1住宅混合公建用地、F2公建混合住宅用地,2015-11-23,172000,北京华润曙光房地产开发有限公司和北京未来科技城置业有限公司联合体
F2公建混合住宅用地、F3其他类多功能用地,2015-11-23,330000,北京华润曙光房地产开发有限公司和北京未来科技城置业有限公司联合体
R2二类居住用地、B4综合性商业金融服务业用地、U17邮政设施用地、A33基础教育用地、A61机构养老设施用地、A51医院用地,2015-11-19,252400,北京国瑞兴业地产股份有限公司
B4综合性商业金融服务业用地,2015-11-19,420000,北京世博宏业房地产开发有限公司、北京和筑房地产开发有限公司和北京未来科技城昌远置业有限公司联合体
R2二类居住用地、B4综合性商业金融服务业用地、A33基础教育用地,2015-11-19,197200,北京国瑞兴业地产股份有限公司
R2二类居住用地,2015-11-18,570000,杭州致全投资有限公司、中交地产有限公司和深圳市平嘉投资管理有限公司联合体
B4综合性商业金融服务业用地、F1住宅混合公建用地,2015-11-18,460000,北京万科企业有限公司
R2二类居住用地、A33基础教育用地,2015-11-18,79600,北京中瑞凯华投资管理有限公司
R2二类居住用地、B11零售商业用地、A51医院用地、A6社会福利用地、A33基础教育用地、A4体育用地,2015-11-16,234150,北京城建兴顺房地产开发有限公司
R2二类居住用地,2015-11-16,264750,北京城建兴顺房地产开发有限公司
R2二类居住用地、R53托幼用地,2015-11-13,202500,北京天利海房地产开发有限公司
R2二类居住用地,2015-11-13,187300,北京泓博泰成房地产开发有限公司
F1住宅混合公建用地,2015-11-12,330000,北京世博宏业房地产开发有限公司和北京首都开发股份有限公司联合体
W1物流用地,2015-11-03,16971.359,北京北建通成国际物流有限公司
W1物流用地,2015-11-03,20017.4885,北京北建通成国际物流有限公司
R2二类居住用地、A33基础教育用地、A6社会福利用地、A2文化设施用地、S31公交枢纽用地,2015-11-02,834000,深圳华侨城股份有限公司、招商局地产（北京）有限公司和北京华润曙光房地产开发有限公司联合体
R2二类居住用地、A33基础教育用地,2015-10-30,859500,北京天恒房地产股份有限公司、中粮地产（北京）有限公司和北京中瑞凯华投资管理有限公司联合体
B2商务用地,2015-10-28,64200,神州数码软件有限公司和神州数码（中国）有限公司联合体
F1住宅混合公建用地、F3其他类多功能用地、A33基础教育用地,2015-10-28,146000,北京市基础设施投资有限公司和北京京投置地房地产有限公司联合体
B2商务用地,2015-10-27,81000,北京万科企业有限公司
B23研发设计用地,2015-10-27,65000,北京保险产业园投资控股有限责任公司
R2二类居住用地、A51医院用地,2015-10-23,185000,北京金隅大成开发有限公司
F1住宅混合公建用地,2015-10-23,142500,北京龙湖中佰置业有限公司、深圳市平嘉投资管理有限公司和北京昌基置业有限公司联合体
F1住宅混合公建用地,2015-10-23,277500,福建中维房地产开发有限公司
B4综合性商业金融服务业用地,2015-10-21,342000,宁波方兴投资咨询有限公司和碧桂园（北京）投资有限公司联合体
B4综合性商业金融服务业用地,2015-10-21,176000,宁波方兴投资咨询有限公司和碧桂园（北京）投资有限公司联合体
R2二类居住用地、A61机构养老设施用地、A5医疗卫生用地、A334托幼用地、A331中学用地,2015-10-20,495000,中国葛洲坝集团房地产开发有限公司
B4综合性商业金融服务业用地,2015-10-20,110000,中铁置业集团有限公司和中铁投资集团有限公司联合体
R2二类居住用地、A33基础教育用地,2015-09-29,203000,北京金地创世咨询有限公司和中国电建地产集团有限公司联合体
一类工业用地,2015-09-16,2984,北京京燕奥得赛化学有限公司
,2015-09-15,1635,百奥赛图（北京）生物工程有限公司
工业用地,2015-09-16,8638.7694,京唯科技（北京）有限公司
,2015-09-15,613,北京乾建科技孵化器有限公司
M1一类工业用地,2015-09-23,3554,北京松芝福田汽车空调有限公司
一类工业用地,2015-09-16,1488,北京京燕奥得赛化学有限公司
,2015-09-15,1346,北京农发生物制药有限公司
B1商业用地,2015-09-11,240045,北京农产品中央物流园有限公司
,2015-09-11,11186,中钞设计制版有限公司
,2015-09-10,9770,北京悦康凯信制药有限公司
,2015-09-30,3035,北京京孚徵慈工贸有限公司
,2015-09-18,5951,北京东旭宏达科技有限公司
,2015-09-10,5615,北京思睿投资发展有限公司
,2015-09-10,1780,北京壹诺药业有限公司
,2015-09-11,1347,北京东兴堂蜂产品有限公司
,2015-09-10,3495,北京新太洋生物医药有限公司
,2015-09-10,5984,中船海洋装备创新园区投资有限公司
,2015-09-10,13011,中船电子科技有限公司
A61机构养老设施用地、R2二类居住用地,2015-09-09,294000,北京懋源房屋开发有限公司和北京懋源宏展投资管理中心（有限合伙）联合体
F1住宅混合公建用地,2015-09-08,425000,北京保利营房地产开发有限公司、北京首都开发股份有限公司和北京龙湖中佰置业有限公司联合体
F1住宅混合公建用地、R2二类居住用地、R22社区配套服务设施,2015-09-02,648300,北京保利营房地产开发有限公司和北京首都开发股份有限公司联合体
F1住宅混合公建用地、A33基础教育用地、A5医疗卫生用地,2015-08-31,502500,北京丰亦置业有限公司和中铁房地产集团北京丰昊置业有限公司联合体
工业,2015-08-06,18534.1146,北京小米电子产品有限公司
B4综合性商业金融服务业用地、A61机构养老设施用地、R2二类居住用地,2015-07-16,317800,北京天恒乐活城置业有限公司
R2二类居住用地、B4综合性商业金融服务业用地、A33基础教育用地、A6社会福利用地、A5医疗卫生用地,2015-07-16,157000,北京恒隆兴置业有限公司
B4综合性商业金融服务业用地,2015-07-15,176000,北京金丰融晟投资管理有限公司
F1住宅混合公建用地,2015-07-07,259500,北京龙湖中佰置业有限公司、北京首都开发股份有限公司联合体
F1住宅混合公建用地、A33基础教育用地,2015-07-03,228000,北京城建兴业置地有限公司
F3其他类多功能用地、F2公建混合住宅用地,2015-07-02,200000,北京兴展宏业投资有限公司
B4综合性商业金融服务业用地,2015-07-01,46800,北京万烟谷投资发展有限公司
F3其他类多功能用地、F2公建混合住宅用地,2015-06-30,241000,北京创富诚展投资有限公司、北京天恒致远置业有限公司、北京永同昌房地产开发有限公司联合体
F3其它类多功能用地,2015-06-30,97000,北京格雷时尚科技有限公司
B4综合性商业金融服务业用地,2015-06-26,12200,北京兴创置地房地产开发有限公司
R2二类居住用地,2015-06-25,22500,北京德顺富兴投资有限公司
R2二类居住用地、A33基础教育用地、A61机构养老设施用地,2015-05-05,72500,北京通润博园房地产开发有限公司
F2公建混合住宅用地、F3其他类多功能用地,,,
M1一类工业用地,2015-04-08,7121.0822,北京轩宇信息技术有限公司
M1一类工业用地,2015-04-08,1597.4423,北京聚利科技股份有限公司
M1一类工业用地,2015-03-11,5256.5975,北京轩宇空间科技有限公司
M1一类工业用地,2015-03-16,8967.7672,和仁顺通科技有限公司
工业用地,2015-03-06,2145.396,森特士兴集团股份有限公司
C2商业金融用地,,,
F1住宅混合公建用地,2015-02-15,136600.0,北京未来科技城置业有限公司和金融街长安（北京）置业有限公司联合体
F2公建混合住宅用地,2015-02-15,95000.0,北京东方蓝海置业有限责任公司
F1住宅混合公建用地、R2二类居住用地、A33基础教育用地、U17邮政设施用地、F81绿隔产业用地,,,
R2二类居住用地、B4综合性商业金融服务业用地、A33基础教育用地、S4社会停车场用地、U14供热用地,2015-01-28,63000.0,北京天恒立信置业有限公司
F3其他类多功能用地,,,
C2商业金融用地,2015-01-07,48600.0,北京新华联伟业房地产有限公司和北京运河长基投资有限公司联合体
R2二类居住用地、F3其他类多功能用地、A33基础教育用地,2015-01-05,420000.0,北京华润曙光房地产开发有限公司、招商局地产（北京）有限公司、深圳联新投资管理有限公司和致昌（北京）企业管理有限公司联合体
R2二类居住用地、B4综合性商业金融服务业用地,2015-01-05,449000.0,招商局地产（北京）有限公司、北京华润曙光房地产开发有限公司、深圳联新投资管理有限公司和致昌（北京）企业管理有限公司联合体
B11零售商业用地,2014-12-30,55000.0,北京龙湖中佰置业有限公司和北京泰瑞恒尚投资有限公司联合体
R2二类居住用地、R53托幼用地,2014-12-04,48000.0,北京世安住房股份有限公司
二类居住用地,2014-11-21,81000.0,北京首开天成房地产开发有限公司
R2二类居住用地,2014-11-02,115000.0,北京紫乔房地产开发有限公司
R2二类居住用地、B4综合性商业金融服务业用地、A33基础教育用地,2014-11-02,590000.0,北京中海金石房地产开发有限公司
R2二类居住用地,2014-11-02,96000.0,北京德俊置业有限公司和北京房地置业发展有限公司联合体
北京经济技术开发区河西区X27F3地块,2014-09-05,1327.38,北京行有恒医药有限公司
北京经济技术开发区河西区X6-1M2地块,2014-09-04,1737.593,北京久其政务软件股份有限公司
北京经济技术开发区路东区A13M3地块,2014-09-05,826.965,北京华兴长泰物联网技术研究院有限责任公司
北京经济技术开发区河西区X61M1地块,2014-09-05,1493.445,北京世纪兴卓科技股份有限公司
C2商业金融用地、R2二类居住用地,2014-08-20,746000.0,北京金嘉房地产开发有限公司
F3其它类多功能用地,,,
F3其它类多功能用地,,,
R2二类居住用地,2014-07-14,233000.0,北京瑞坤置业有限责任公司
R2二类居住用地、C9其他公共设施用地,2014-07-14,293000.0,北京顺义新城建设开发有限公司
M1一类工业用地,2014-06-10,6769.3244,荣宝斋
一类工业用地,2014-04-11,6579.0,实创家居装饰集团有限公司
一类工业用地,2014-04-08,4509.0,北京坤源碳酸酯化学有限公司
F2公建混合住宅用地,2014-04-24,416000.0,北京正浩置业有限公司
一类工业用地,2014-04-16,11315.0,德信无线通讯科技（杭州）有限公司
C2商业金融用地,2014-04-24,145000.0,北京亦庄盛元投资开发有限公司
M1-3工业用地,2014-04-03,8393.2054,北京联东金平投资管理有限公司
C2商业金融用地,2014-04-24,76300.0,北京万科企业有限公司和北京城市开发集团有限责任公司联合体
一类工业用地,2014-04-08,3244.0,劳伦斯泵业机械（北京）有限公司
F3其他类多功能用地,2014-04-24,81000.0,北京亦庄数字显示产业管理有限公司
一类工业用地,2014-04-03,3772.0,美景（北京）环保科技有限公司
一类工业用地,2014-04-03,25304.0,中国石化润滑油北京有限责任公司
一类工业用地,2014-04-03,4372.0,中石化催化剂（北京）有限公司
一类工业用地,2014-04-03,3862.0,北京博曼迪汽车科技有限公司
R2二类居住用地,2014-04-24,97400.0,北京经开投资开发股份有限公司
一类工业用地,2014-04-09,2695.0,北京航峰科伟装备技术股份有限公司
一类工业用地,2014-04-03,1746.0,北京金朋达航空科技有限公司
R2二类居住用地、S3社会停车场库用地、,2014-04-18,357000.0,中国水电建设集团房地产有限公司和宁波益方投资合伙企业（有限合伙）联合体
M1一类工业用地,2014-04-02,3231.5282,雷士（北京）光电工程技术有限公司
M1一类工业用地,2014-04-02,325.8529,北京数码视讯支付技术有限公司
F1住宅混合公建用地,2014-04-18,217400.0,中铁置业集团北京有限公司、中国中铁航空港建设集团有限公司、中铁物资有限责任公司和中铁四局集团有限公司联合体
M1一类工业用地,2014-04-08,2235.0057,北京庆东纳碧安热能设备有限公司
F1住宅混合公建用地、R51中学用地,2014-04-18,60500.0,北京正华永恒置业有限公司和北京正华永旭房地产开发有限公司联合体
工业用地,2014-04-02,3722.3349,北京中华商务文化发展有限公司
M1一类工业用地,2014-04-02,12025.1646,远大住宅工业（北京）有限公司
F1住宅混合公建用地、R53托幼用地、,2014-04-18,236000.0,北京金科兴源置业有限公司
工业用地,2014-04-02,6014.591,北京中都迈速物流有限公司
M1一类工业用地,2014-04-02,3700.0,北京尚唐世纪文化投资有限公司
F3其它类多功能用地,2014-05-06,107000.0,复地（集团）股份有限公司和上海复贤投资有限公司联合体
F3其它类多功能用地、S3社会停车场库用地,2014-05-06,108000.0,北京上和致远房地产有限公司
F3其它类多功能用地,2014-05-06,191000.0,北京天恒房地产股份有限公司
F3其它类多功能用地,2014-05-06,178500.0,复地（集团）股份有限公司和上海复贤投资有限公司联合体
F3其它类多功能用地,2014-04-10,346000.0,福州泰禾房地产开发有限公司
R2二类居住、R53托幼用地、C21商业用地、U2交通设施用地、F1住宅混合公建用地,2014-04-10,155800.0,北京瑞元丰祥置业有限公司和北京锦富华昌投资管理有限公司联合体
F3其它类多功能用地,2014-04-10,171000.0,福州泰禾房地产开发有限公司
R2二类居住用地、R53托幼用地、R51中学用地,2014-04-10,210000.0,北京中长合源置业有限公司
F3其它类多功能用地,2014-04-04,167000.0,北京富润万嘉房地产开发有限公司
F3其它类多功能用地,2014-04-04,40000.0,北京双传和信文化科技有限公司
C2商业金融用地,2014-03-27,56400.0,北京市四合庄兴鹏投资管理中心
游乐用地、社会停车场库,2014-03-27,193000.0,北京首寰文化旅游投资有限公司
二类居住、小学、中学,2014-03-27,205000.0,天津金碧投资有限公司
二类居住、住宅混合公建、商业、托幼,2014-03-26,82700.0,北京弘轩鼎成房地产开发有限公司
二类居住、托幼,2014-03-26,264500.0,中国铁建房地产集团有限公司
二类居住、商业金融、公共交通、中小学合校、托幼,,,
M1一类工业用地,2014-03-03,6950.0,中传数字传播有限公司
一类工业用地,2014-03-03,3252.0,北京京煤化工有限公司
R2二类居住用地、R53托幼用地,2014-02-26,77800.0,旭辉集团股份有限公司和当代节能置业股份有限公司联合体
R2二类居住用地,,,
R2二类居住用地,2014-02-20,290000.0,北京方兴兴亦置业有限公司与中国葛洲坝集团房地产开发有限公司联合体
R2二类居住用地,2014-02-20,310000.0,上海拓赢实业有限公司与北京融创恒基地产有限公司联合体
R2二类居住用地、C2商业金融用地,2014-02-20,495800.0,福州泰禾房地产开发有限公司
F3其它类多功能用地,,,
工业用地,2014-02-11,756.0,北京东方阳阳餐饮管理有限公司
工业用地,2014-02-11,1410.0,北京惠方清松生物科技有限公司
工业用地,2014-03-27,1430.0,北京怡展生物医药有限责任公司
工业用地,2014-02-11,1094.0,北京葛兰科制药有限公司
工业用地,2014-02-11,707.0,北京一诺康生物药业有限公司
工业用地,2014-02-11,677.0,北京索林康建医疗器械有限公司
工业用地,2014-02-11,766.0,北京康华兴特生物科技有限公司
二类居住用地,,,
C2商业金融用地,,,
R2二类居住用地、R53托幼用地、C2商业金融用地,2014-02-13,357000.0,北京龙湖中佰置业有限公司和北京盟科置业有限公司联合体
二类居住用地、商业用地、小学用地,2014-02-13,251000.0,北京联创盛业房地产开发有限公司
F2公建混合住宅、F1住宅混合公建,,,
F2公建混合住宅用地,,,
F3其它类多功能用地,,,
R2二类居住用地、R52小学用地,,,
住宅混合公建用地,,,
R2二类居住用地、C2商业金融用地,2014-01-16,216000.0,北京金地兴业房地产有限公司
C2商业金融用地、S3社会停车场库用地,2014-01-16,182000.0,北京融创恒基地产有限公司和北京瑞丰华成房地产开发有限公司联合体
C2商业金融用地、C5医疗卫生用地,2014-01-16,382000.0,北京远坤房地产开发有限公司
R2二类居住用地、C2商业金融用地,2014-01-16,72000.0,北京瑞元丰祥置业有限公司和北京中瑞凯华投资管理有限公司联合体
C2商业金融用地,2014-01-16,73500.0,北京瑞元丰祥置业有限公司和北京鑫远诚业咨询有限公司联合体
C2商业金融用地、S3社会停车场库用地,2014-01-16,193000.0,华润置地（北京）股份有限公司和深圳市润鑫四号投资合伙企业（有限合伙）联合体
工业,2014-02-13,1189.8853,维龙（北京）仓储服务有限公司
工业,2014-01-16,1805.0,北京天威远大科技发展有限公司
M1一类工业用地,2014-01-15,4258.8,北京永乐佳地科技发展有限公司
工业,2014-01-15,5092.9406,北京恒亿盛世酒业有限公司
工业,2014-01-15,2977.57,北京光辉华兴投资管理有限公司
工业用地,2014-01-09,2585.0,京卫制药（北京）有限公司
一类工业用地,2014-01-16,8620.0,北京恒通创新赛木科技股份有限公司
工业用地,2014-01-21,4316.0,北京科创制药有限公司
R2二类居住用地、R54中小学合校用地、R53托幼用地,,,
商业金融、住宅混合公建、绿隔产业、中小学合校用地,2014-01-15,424000.0,北京顺义新城建设开发有限公司
F1住宅混合公建用地,2014-01-09,114400.0,北京远坤房地产开发有限公司
C3文化娱乐用地,2014-01-07,10400.0,北京房开韩建置业有限公司
二类居住用地、商业用地、托幼用地、机动车停车场库用地,2014-01-07,217500.0,北京万安汇鑫投资管理有限公司和北京锦富鸿翔投资管理有限公司联合体
二类居住用地、商业用地、中学用地,2014-01-07,307100.0,北京财懋房地产开发有限公司
C2商业金融用地,2014-01-07,246000.0,北京创意港商务服务有限公司、北京房开鼎盛投资有限公司和云南城投置业股份有限公司联合体
一类工业用地,2013-12-31,13098.0,中粮（北京）农业生态谷发展有限公司
工业用地,2013-12-31,5728.052,北京中都迈速物流有限公司
工业用地,2013-12-31,3589.47936,北京华海基业机械设备有限公司
F1住宅混合公建、C2商业金融、R53托幼、C5医疗卫生,,,
R2二类居住用地、R53托幼用地、R52小学用地,2013-12-24,356000.0,北京东方长安房地产开发有限公司
R2二类居住用地、C2商业金融用地,2013-12-24,132300.0,北京兴创中和房地产开发有限公司
R2二类居住用地、C2商业金融用地,2013-12-24,129500.0,北京兴创中和房地产开发有限公司
R2二类居住用地,2013-12-24,68500.0,当代节能置业股份有限公司
工业用地,2013-12-18,1541.0,北京航天东方科技发展有限公司
普通仓库用地,2013-12-18,31923.0,国网北京市电力公司
R2二类居住用地,2013-12-05,167000.0,北京正华永恒置业有限公司和北京正华永升房地产开发有限公司联合体
M1一类工业用地,2013-12-02,1008.8212,科雅（北京）新型装饰材料有限公司
工业用地,2013-12-02,8109.6,北京坤鼎国际投资有限公司
M1一类工业用地,2013-12-04,26982.4,北京市三一重机有限公司
二类居住用地、小学用地,2013-11-28,214500.0,北京首城置业有限公司
